Title(s)	Developer	Publisher	NA	PAL	JP
Devil Summoner: Soul Hackers	Atlus	Atlus			1997
Dezaemon 2	Athena	Athena			1997
Die Hard Arcade|Dynamite Deka JP	Sega AM1	Sega	1997		
Die Hard Trilogy	Probe Entertainment	Fox Interactive	1996		
Digital Monster Ver. S: Digimon Tamers	TOSE	Bandai			1998
Digimon BOX Light & Dark					
Digital Pinball: Last Gladiators	Kaze	Kaze	1996		1997
Digital Pinball: Necronomicon	Kaze	Kaze			1996
Dinosaur Island	Game Arts	Game Arts			1997
Dinosaur Island Trailer					
Discworld|Terry Pratchett's Discworld PAL	Psygnosis	Perfect Entertainment		1996	1996
Discworld II: Missing Presumed...!?|Discworld 2: Mortellement Votre FR	Tantalus Entertainment	Perfect Entertainment		1997	
DoDonPachi	Cave	Atlus			1998
DonPachi	Cave	Atlus			1996
Doom	id Software	GT Interactive	1997		
Double Switch	Digital Pictures	Digital Pictures	1995		
Doukoku Soshite...	Sakata SAS, Studio Line	Data East			1998
Doukyuusei 2	ELF	NEC Interchannel			1997
Dragon Force	Sega	Working Designs	1996		
Dragon Force II	Chime Corporation, Sega|ALU	Sega			1998
Dragon Ball Z: Idainaru Dragon Ball Densetsu (JP)|Dragon Ball Z: The Legend PAL	TOSE	Bandai		1996	1996
Dragon Ball Z: Shin Butoden	TOSE	Bandai			1995
DragonHeart: Fire & Steel	Funcom	Acclaim	1996		
Dragon Knight 4					1997
Duke Nukem 3D	Lobotomy Software	Sega	1997		
Dungeons & Dragons Collection	Capcom	Capcom			1999
Earthworm Jim 2	Screaming Pink	Playmates	1996		
Elevator Action 2 Returns	Taito	Ving			1997
Enemy Zero	WARP	Sega	1997		
EVE: Burst Error	C's ware	Imagineer & C's ware			1997
EVE: The Lost One	C's ware	Imadio			1998
F1 Challenge	Bell Corporation	Virgin Interactive	1996		
Falcom Classics	Falcom	JVC			1997
Falcom Classics II	Falcom|EXE Create	JVC			1998
Falcom Classics Collection	JVC|Falcom	JVC			1999
Fantastep	Jaleco	Jaleco			1997
Farland Saga	TGL	TGL			1998
Fatal Fury 3: Road to the Final Victory	SNK	SNK			1996
FIFA: Road to World Cup 98	Climax Group	Electronic Arts	1997		
