Title	Developer(s)	Publisher(s)	Japan	Europe	North America	Notes
Martian Gothic: Unification	Coyote Developments	Take-Two Interactive	Unreleased	2001-10-05	2001-11-04	
Marvel Super Heroes	Capcom	Capcom	1997-09-25	1997-12-01	1997-01-01	
Marvel Super Heroes vs. Street Fighter	Capcom	Virgin Interactive PAL|Capcom JP,NA	1999-02-25	1999-05-01	1999-02-23	
Mary-Kate and Ashley: Crush Course	n-Space	Acclaim	Unreleased	Unreleased	2001-08-31	
Mary-Kate and Ashley: Magical Mystery Mall	n-Space	Acclaim	Unreleased	Unreleased	2000-10-27	
Mary-Kate and Ashley: Winner's Circle	Tantalus Software	Acclaim	Unreleased	2001-05-25	2001-03-05	
Mass Destruction	NMS Software	ASC Games NA|BMG Interactive PAL	Unreleased	1997-11-01	1997-09-30	
Master of Monsters: Disciples of Gaia	SystemSoft	ASCII Entertainment	Unreleased	Unreleased	1998-08-31	
The Masters Fighter			Unreleased	Unreleased	Unreleased	
Math Gallery Collection 1			Unreleased	Unreleased	Unreleased	
Math Gallery Collection 2			Unreleased	Unreleased	Unreleased	
Math on the Move!: Addition/Subtraction Advanced			Unreleased	Unreleased	Unreleased	
Math on the Move!: Addition/Subtraction Intermediate			Unreleased	Unreleased	Unreleased	
Math on the Move!: Multiplication/Division Advanced			Unreleased	Unreleased	Unreleased	
Math on the Move!: Multiplication/Division Intermediate			Unreleased	Unreleased	Unreleased	
Mat Hoffman's Pro BMX	Runecraft	Activision	2002-09-05	2001-05-25	2001-05-14	
Max Surfing 2000			1999-11-18	Unreleased	Unreleased	
Maximum Force	Tantalus Interactive	Midway	Unreleased	Unreleased	1997-09-30	
McGrath Vs. Pastrana Freestyle Motocross	Z-Axis Ltd.	Acclaim	Unreleased	Unreleased	2000-11-05	
MDK	Neversoft	Playmates Interactive Entertainment	Unreleased	Unreleased	1998-11-30	
MechWarrior 2	Quantum Factory	Activision	Unreleased	Unreleased	1997-02-28	
Medal of Honor	DreamWorks Interactive	Electronic Arts	Unreleased	2002-09-13	1999-10-31	
Medal of Honor: Underground	DreamWorks Interactive	Electronic Arts	Unreleased	2002-09-13	2000-10-23	
MediEvil	Sony Computer Entertainment	Sony Computer Entertainment	1999-06-17	1998-10-01	1998-10-01	
MediEvil 2	Sony Computer Entertainment	Sony Computer Entertainment	Unreleased	2000-04-19	2000-04-30	
Mega Man 8|Rockman 8 JP	Capcom	Capcom	1997-12-17	1998-10-12	1998-03-20	
Mega Man Battle & Chase			1997-03-20	1998-11-30	Unreleased	
Mega Man Legends|Rockman DASH JP	Capcom	Capcom	1997-12-18	1998-08-31	1998-12-04	
Mega Man Legends 2|Rockman DASH 2 JP	Capcom	Capcom	2000-04-20	2001-08-03	2000-10-24	
Mega Man X3	Capcom	Virgin Interactive	1996-04-26	1997-03-01	Unreleased	
Mega Man X4|Rockman X4 JP	Capcom	Capcom	1997-08-01	1997-10-13	1997-09-25	
Mega Man X5|Rockman X5 JP	Capcom	Capcom	2000-11-30	2001-08-03	2001-01-31	
Mega Man X6|Rockman X6 JP	Capcom	Capcom	2001-11-29	2002-02-08	2001-12-04	
Megatudo 2096			1996-10-18	Unreleased	Unreleased	
Memories Off	Kid	Kid	1999-09-30	Unreleased	Unreleased	
Men In Black: The Game	Gigawatt Studios	Gremlin Interactive	Unreleased	1998-04-04	Unreleased	
Men In Black - The Series: Crashdown	Runecraft	Infogrames	Unreleased	2001-11-02	2001-11-01	
Metal Fist			1998-01-15	Unreleased	Unreleased	
Metal Gear Solid	Konami	Konami	1998-09-03	1999-02-22	1998-10-21	
Metal Gear Solid: Integral	Konami	Konami	1999-06-24	Unreleased	Unreleased	
Metal Gear Solid: VR Missions	Konami	Konami	Unreleased	Unreleased	1998-10-01	
Metal Slug	Nazca Corporation	SNK Playmore	1997-08-07	Unreleased	Unreleased	
Metal Slug X	ProSoft	SCEI AU|SNK JP|Agetec NA|Virgin Interactive PAL	2001-01-25	2000-01-01	2001-04-14	
Michael Owen's WLS 99	Silicon Dreams Studio	Eidos	Unreleased	Unreleased	Unreleased	
Michael Schumacher Racing World Kart 2002	Radon Labs	JoWooD Entertainment	Unreleased	2002-09-18	Unreleased	
Michelin Rally Masters: Race of Champions	Digital Illusions	Infogrames	Unreleased	Unreleased	2000-10-28	
Mickey's Wild Adventure	Traveller's Tales	Sony Imagesoft	Unreleased	1996-03-01	Unreleased	
Micro Machines V3	Codemasters	Midway	1998-01-01	1997-03-01	1997-11-30	
Midnight In Vegas			Unreleased	2000-01-01	Unreleased	
Midnight Run	Konami Computer Games Aoyama	Konami	1997-11-27	1998-01-01	Unreleased	
Mighty Hits	Altron	Altron	1996-12-27	Unreleased	Unreleased	
Mighty Hits Special PAL|Mighty Hits Special (Pop Collection 1280 Vol. 4) JP	Altron	Altron	1999-07-15	1999-01-01	Unreleased	
Mike Tyson Boxing	Codemasters	Codemasters	Unreleased	Unreleased	2000-10-23	
Mille Miglia	Kung Fu Games	SCi	Unreleased	2000-10-13	Unreleased	
MiniMoni: Shaker and Tambourine! Dapyon!			2002-09-19	Unreleased	Unreleased	
Minna no Shogi: Chuukyuuhen	Success	Success	2002-03-07	Unreleased	Unreleased	
Minna no Shogi: Jokyuuhen	Success	Success	2002-03-07	Unreleased	Unreleased	
Minna no Shogi: Shokyuuhen	Success	Success	2002-03-07	Unreleased	Unreleased	
Miracle Space Race	Miracle Designs	Mud Duck Productions	Unreleased	Unreleased	2003-05-06	
The Misadventures of Tron Bonne	Capcom	Capcom	1999-07-22	2000-06-16	2000-04-30	
Miss Spider's Tea Party	Hypnotix	Simon & Schuster Interactive	Unreleased	Unreleased	2000-11-01	
Missile Command	Meyer/Glass Interactive	Hasbro Interactive	Unreleased	Unreleased	1999-11-30	
The Mission	Microids		Unreleased	2000-12-22	Unreleased	
Mission: Impossible	X-Ample Architectures	Infogrames Entertainment	Unreleased	Unreleased	1999-11-23	
Mitsumete Knight	Konami|Red Company	Konami	1998-03-19	Unreleased	Unreleased	
Mitsumete Knight R Daibouken hen			1998-11-26	Unreleased	Unreleased	
Mix TV Presents: Eminem			Unreleased	Unreleased	Unreleased	
Mizzurna Falls	Human Entertainment	Human Entertainment	1998-12-23	Unreleased	Unreleased	
MLB '98	Sony Computer Entertainment	Sony Computer Entertainment	Unreleased	Unreleased	1997-06-30	
MLB '99	Sony Computer Entertainment	Sony Computer Entertainment	Unreleased	Unreleased	1998-03-31	
MLB 2000	989 Sports	989 Sports	Unreleased	Unreleased	1999-02-28	
MLB 2001	989 Sports	989 Sports	Unreleased	Unreleased	2000-02-29	
MLB 2002	989 Sports	Sony Computer Entertainment	Unreleased	Unreleased	2001-05-07	
MLB 2003	989 Sports	Sony Computer Entertainment	Unreleased	Unreleased	2002-06-17	
MLB 2004	989 Sports	Sony Computer Entertainment	Unreleased	Unreleased	2003-04-30	
MLB 2005	989 Sports	Sony Computer Entertainment	2004-05-27	Unreleased	2004-03-04	
MLB Pennant Race	Sony Interactive Studios America	SCEA	Unreleased	Unreleased	1996-09-30	
Mobil 1: Rally Championship	Magnetic Fields|Creative Asylum Limited	Actualize|Ubisoft Entertainment|Europress Software	Unreleased	2000-01-01	Unreleased	
Mobile Armor	Highwaystar	Agetec Inc.	Unreleased	Unreleased	2002-01-01	
Mobile Light Force	Psikyo	XS Games	1995-12-15	2002-01-01	2003-03-19	
Mobile Suit Gundam: Perfect One Year War			1997-07-31	Unreleased	Unreleased	
Mobile Suit Z-Gundam			1997-12-11	Unreleased	Unreleased	
Mona & Moki: Drive Me Wild			Unreleased	Unreleased	Unreleased	
Mona & Moki: Drive Me Wilder			Unreleased	Unreleased	Unreleased	
Monaco Grand Prix Racing Simulation	Ubisoft Paris	Ubisoft	1999-09-30	1999-07-01	1999-06-30	
Monkey Hero	Blam!	Take-Two Interactive	Unreleased	1999-01-01	1999-02-28	
Monkey Magic	Mpen	Sunsoft	Unreleased	Unreleased	1999-11-27	
Monopoly	Gremlin Interactive	Hasbro Interactive	Unreleased	Unreleased	1997-10-31	
Monster Bass!			2000-06-15	Unreleased	2002-01-01	
Monster Racer	Microids	Microids	Unreleased	2001-01-01	Unreleased	
Monster Rancher	Tecmo	Tecmo	1997-07-24	Unreleased	1997-11-30	
Monster Rancher 2	Tecmo	Tecmo	1999-02-25	2000-10-20	1999-01-01	
Monster Rancher Battle Card: Episode II	Tecmo	Tecmo	2000-03-23	Unreleased	2000-07-31	
Monster Rancher Hop-A-Bout	Tecmo	Tecmo	2001-03-22	Unreleased	2000-12-10	
Monster Seed	NK System	Sunsoft	1998-11-05	1999-01-01	1999-03-31	
Monsters, Inc. Scream Team|Monsters, Inc. Scare Island PAL|Monsters, Inc. Monster Academy JP	Artificial Mind and Movement	Sony Computer Entertainment	2002-03-14	2002-02-01	2001-10-30	
Monte Carlo Games Compendium	Mere Mortals	Midas Interactive	Unreleased	Unreleased	Unreleased	
Moon: RPG Remix Adventure [244]	Love-de-Lic	ASCII Entertainment	1997-10-16	Unreleased	Unreleased	
Mort the Chicken	AndNow Interactive	Crave	Unreleased	Unreleased	2000-11-03	
Mortal Kombat II	Probe Entertainment Limited	Acclaim Japan	1996-08-12	Unreleased	Unreleased	
Mortal Kombat 3	Williams	SCEA	1996-06-14	1995-11-01	1995-10-07	
Mortal Kombat 4	Eurocom	Midway	Unreleased	1998-10-15	1998-06-24	
Mortal Kombat Mythologies: Sub-Zero	Avalanche Software	Midway	Unreleased	1997-12-02	1997-10-01	
Mortal Kombat: Special Forces	Midway	Midway	Unreleased	2000-09-29	2000-06-30	
Mortal Kombat Trilogy	Avalanche Software	Midway	Unreleased	Unreleased	1996-01-01	
Moses Prince Of Egypt	The Code Monkeys	Midas Interactive	Unreleased	Unreleased	Unreleased	
Moto Racer	Delphine Software International	Electronic Arts	Unreleased	Unreleased	1997-11-30	
Moto Racer 2	Delphine Software International	Electronic Arts	Unreleased	Unreleased	1998-08-31	
Moto Racer 3: World Tour	Delphine Software International	Electronic Arts	Unreleased	2000-09-29	2000-11-06	
Motocross Mania	Deibus Studios	Take-Two Interactive	Unreleased	Unreleased	2001-07-09	
Motocross Mania 2	Gotham Games	Gotham Games	Unreleased	2003-07-04	2003-06-25	
Motor Toon Grand Prix	Sony Computer Entertainment	Sony Computer Entertainment	1994-12-16	Unreleased	Unreleased	
Motor Toon Grand Prix 2|Motor Toon Grand Prix NA	Polyphony Digital	Sony Computer Entertainment	1996-05-24	1996-11-01	1996-06-10	
Motorhead	Digital Illusions CE	Fox Interactive|Gremlin Interactive	Unreleased	1998-04-01	1998-09-30	
Motor Mash	Eutechnyx	Ocean Software	Unreleased	1997-11-01	Unreleased	
Motteke Tamago with Ganbare Kamonohasi			Unreleased	Unreleased	Unreleased	
Mr. Driller	Namco	Namco	2000-06-29	2000-01-01	2000-05-09	
Mr. Driller G			2001-11-22	Unreleased	Unreleased	
Ms. Pac-Man Maze Madness	Namco	Namco	2000-12-28	2000-10-17	2000-09-08	
MTB Dirt Cross			1998-10-15	Unreleased	Unreleased	
MTV Music Generator	Jester Interactive	Codemasters	Unreleased	Unreleased	1999-11-30	
MTV Sports: Pure Ride	Radical Entertainment	THQ	Unreleased	Unreleased	2000-09-30	
MTV Sports: Skateboarding featuring Andy MacDonald	Darkblack	THQ	Unreleased	Unreleased	2000-09-12	
MTV Sports: Snowboarding	Radical Entertainment	THQ	Unreleased	Unreleased	1999-09-30	
MTV Sports: T.J. Lavin's Ultimate BMX	Blue Shift	THQ	Unreleased	Unreleased	2001-03-27	
The Mummy|Hamunaptra : Ushinawareta Sabaku no Miyako JP	Rebellion	Konami	Unreleased	Unreleased	2000-11-30	
Muppet Monster Adventure	Magenta Software	Jim Henson Interactive and Sony Computer Entertainment	Unreleased	2000-10-20	2000-11-07	
Muppet Race Mania	Traveller's Tales	Midway	Unreleased	2000-04-19	2000-10-03	
Music	Jester Interactive	Codemasters	Unreleased	Unreleased	Unreleased	
Music 2000	Jester Interactive	Codemasters	Unreleased	Unreleased	Unreleased	
My Disney Kitchen	Atlus	Bam! Entertainment	2002-02-07	Unreleased	2002-11-05	
Myst	Cyan Worlds|Alfa System	Psygnosis|Soft Bank JP	1995-01-27	1996-11-15	1996-09-30	
N2O: Nitrous Oxide	Gremlin Interactive	Fox Interactive	Unreleased	1998-09-01	1998-06-30	
Nagano Winter Olympics '98	Konami	Konami	1997-12-18	1998-02-01	1997-12-31	
Namco Museum Encore			1997-10-30	Unreleased	Unreleased	
NAMCO Museum Vol. 1	Namco	Namco	1995-11-01	Unreleased	1996-07-31	
NAMCO Museum Vol. 2	Namco	Namco	1996-02-09	1996-11-22	1996-10-25	
NAMCO Museum Vol. 3	Namco	Namco	1996-06-21	1997-02-12	1997-02-20	
NAMCO Museum Vol. 4	Namco	Namco	1996-11-08	1997-08-18	1997-07-17	
NAMCO Museum Vol. 5	Namco	Namco	Unreleased	Unreleased	1997-01-01	
Namco Soccer Prime Goal	Namco	Namco	1995-09-29	1996-11-01	Unreleased	
NanoTek Warrior	Tetragon Inc.	Virgin Interactive	1997-05-09	1997-06-01	1997-02-28	
Naruto: Shinobi no Sato no Jintori Kassen			2003-06-26	Unreleased	Unreleased	
NASCAR 98	EA Sports	EA Sports	Unreleased	Unreleased	1997-11-17	
NASCAR 99	EA Sports	EA Sports	Unreleased	Unreleased	1998-09-30	
NASCAR 2000	EA Sports	EA Sports	Unreleased	Unreleased	1999-09-30	
NASCAR 2001	EA Sports	EA Sports	Unreleased	Unreleased	2000-09-19	
NASCAR Heat	EA Sports	EA Sports	Unreleased	Unreleased	2000-11-06	
NASCAR Racing	EA Sports	Sierra Entertainment	Unreleased	Unreleased	1996-09-30	
NASCAR Rumble	EA Sports	EA Sports	Unreleased	Unreleased	2000-01-31	
NASCAR Thunder 2002	EA Tiburon	Electronic Arts	Unreleased	Unreleased	2001-10-02	
NASCAR Thunder 2003	EA Sports	Electronic Arts	Unreleased	Unreleased	2002-09-19	
NASCAR Thunder 2004	EA Sports	EA Sports	Unreleased	Unreleased	2003-09-16	
NBA Basketball 2000	Radical Entertainment	Fox Interactive	Unreleased	1990-01-01	1999-10-31	
NBA Fastbreak '98	Midway	Visual Concepts	Unreleased	Unreleased	1997-11-30	
NBA Hangtime	Midway	Midway	Unreleased	Unreleased	1997-06-04	
NBA Hoopz	Midway	Eurocom Entertainment Software	Unreleased	Unreleased	2001-02-12	
NBA In The Zone	Konami	Konami	Unreleased	Unreleased	1995-12-14	
NBA In The Zone 2	Konami	Konami	Unreleased	Unreleased	1996-11-30	
NBA In The Zone '98|NBA Pro 98 AU	Konami	Konami	Unreleased	1998	1998-01-31	
NBA In The Zone '99	Konami	Konami	Unreleased	Unreleased	1999-03-31	
NBA In The Zone 2000	Konami	Konami	Unreleased	Unreleased	2000-02-02	
NBA Jam Extreme	Acclaim	Sculptured Software	Unreleased	Unreleased	1996-10-31	
NBA Jam Tournament Edition	Midway Games	Midway Games	Unreleased	Unreleased	1995-09-09	
NBA Live 96	EA Canada	THQ	1996-06-14	1996-05-01	1996-03-01	
NBA Live 97	EA Canada	THQ	1997-02-28	1996-12-01	1996-10-31	
NBA Live 98	EA Canada	Electronic Arts	1998-04-02	1997-12-01	1997-11-30	
NBA Live 99	EA Canada	EA Sports	1999-04-28	1998-01-01	1998-10-31	
NBA Live 2000	EA Canada	EA Sports	2000-02-24	1999-01-01	1999-10-31	
NBA Live 2001	EA Sports	EA Sports	Unreleased	2000-11-10	2000-10-16	
NBA Live 2002	EA Sports	Electronic Arts	Unreleased	2001-11-23	2001-10-30	
NBA Live 2003	EA Canada	EA Sports	Unreleased	Unreleased	2002-10-08	
NBA ShootOut	Sony Interactive Studios America	SCEA	Unreleased	Unreleased	1996-01-01	
NBA ShootOut '97	SCEE London Studio	SCEA	Unreleased	Unreleased	1997-03-14	
NBA ShootOut 98	Sony Interactive Studios America	SCEA	Unreleased	Unreleased	1998-02-28	
NBA ShootOut 2000	989 Sports	989 Sports	Unreleased	Unreleased	1999-11-30	
NBA ShootOut 2001	989 Sports	SCEA	Unreleased	Unreleased	2000-10-30	
NBA ShootOut 2002	989 Sports	SCEA	Unreleased	Unreleased	2001-09-01	
NBA ShootOut 2003	989 Studios	989 Studios	Unreleased	Unreleased	2002-09-29	
NBA ShootOut 2004	989 Sports	SCEA	Unreleased	Unreleased	2003-09-13	
NBA Showtime: NBA on NBC	Eurocom	Midway	Unreleased	Unreleased	1999-10-31	
NCAA Basketball Final Four 97	High Voltage Software	Mindscape	Unreleased	Unreleased	1997-03-31	
NCAA Final Four 99	Killer Game	989 Sports	Unreleased	Unreleased	1998-12-31	
NCAA Final Four 2000	989 Sports	989 Sports	Unreleased	Unreleased	1999-10-31	
NCAA Final Four 2001	989 Sports	SCEA	Unreleased	Unreleased	2000-11-13	
NCAA Football 98	EA Tiburon	Electronic Arts	Unreleased	Unreleased	1997-07-31	
NCAA Football 99	EA Tiburon	EA Sports	Unreleased	Unreleased	1998-08-01	
NCAA Football 2000	EA Sports	EA Sports	Unreleased	Unreleased	1999-06-30	
NCAA Football 2001	EA Sports	EA Sports	Unreleased	Unreleased	2000-07-25	
NCAA Gamebreaker	Sony Interactive Studios America	SCEA	Unreleased	Unreleased	1996-08-31	
NCAA Gamebreaker 98	SCEA	SCEA	Unreleased	Unreleased	1997-08-01	
NCAA Gamebreaker 99	989 Sports	989 Sports	Unreleased	Unreleased	1998-10-31	
NCAA Gamebreaker 2000	Red Zone Entertainment	989 Sports	Unreleased	Unreleased	1999-07-31	
NCAA Gamebreaker 2001	989 Sports	SCEA	Unreleased	Unreleased	2000-08-21	
NCAA March Madness 98	EA Sports	Electronic Arts	Unreleased	Unreleased	1998-02-28	
NCAA March Madness 99	EA Sports	EA Sports	Unreleased	Unreleased	1998-11-30	
NCAA March Madness 2000	Black Ops Entertainment	EA Sports	Unreleased	Unreleased	1999-11-30	
NCAA March Madness 2001	Black Ops Entertainment	EA Sports	Unreleased	Unreleased	2000-12-06	
Necronomicon: The Dawning of Darkness	Cryo Interactive	The Adventure Company	Unreleased	2001-11-09	Unreleased	
Nectaris: Military Madness	Matrix Software	Jaleco Entertainment	Unreleased	Unreleased	1998-12-31	
Need for Speed II	EA Canada	Electronic Arts	Unreleased	Unreleased	1997-03-31	
Need for Speed III: Hot Pursuit	EA Canada	Electronic Arts	Unreleased	Unreleased	1998-01-01	
Need for Speed: High Stakes NA|Need for Speed: Road Challenge PAL, BR|Over Drivin' IV JP	EA Canada	Electronic Arts	1999-06-17	1999-03-30	1999-03-01	
Need for Speed: Porsche Unleashed NA|Need for Speed: Porsche 2000 PAL	Eden Studios	Electronic Arts	Unreleased	2000-06-23	2002-02-29	
Need for Speed: V-Rally	Infogrames	Electronic Arts	Unreleased	Unreleased	1997-09-30	
Need for Speed: V-Rally 2	Eden Studios	Electronic Arts	Unreleased	Unreleased	1999-10-31	
New Japan Pro Wrestling: Toukon Retsuden 4			1999-09-02	Unreleased	Unreleased	
Newman/Haas Racing	Studio 33	Psygnosis	Unreleased	Unreleased	1998-03-31	
The Next Tetris	Blue Planet Software	Atari PAL,NA|Bullet Proof Software JP	1999-01-07	1999-01-01	1999-05-31	
NFL Blitz	Midway	Midway	Unreleased	Unreleased	1998-09-12	
NFL Blitz 2000	Midway	Midway	Unreleased	Unreleased	1999-07-31	
NFL Blitz 2001	Midway	Midway	Unreleased	Unreleased	2000-09-14	
NFL Full Contact	Robin Antonick	Konami	Unreleased	Unreleased	1996-08-28	
NFL GameDay	Sony Interactive Studios America	SCEA	Unreleased	Unreleased	1996-01-01	
NFL GameDay '97	Sony Interactive Studios America	SCEA	Unreleased	Unreleased	1996-11-30	
NFL GameDay 98	989 Studios	SCEA	Unreleased	Unreleased	1997-07-31	
NFL GameDay 99	Red Line Studios	989 Studios	Unreleased	Unreleased	1998-07-31	
NFL GameDay 2000	Red Zone Entertainment	989 Sports	Unreleased	Unreleased	1999-07-31	
NFL GameDay 2001	989 Sports	SCEA	Unreleased	Unreleased	2000-10-30	
NFL GameDay 2002	989 Sports	SCEA	Unreleased	Unreleased	2001-08-06	
NFL GameDay 2003	989 Sports	SCEA	Unreleased	Unreleased	2002-08-13	
NFL GameDay 2004	989 Sports	SCEA	Unreleased	Unreleased	2003-09-13	
NFL GameDay 2005	989 Studios	989 Sports	Unreleased	Unreleased	2004-08-01	
NFL Quarterback Club 97	Iguana Entertainment	Acclaim	Unreleased	Unreleased	1996-08-31	
NFL Xtreme	989 Sports	SCEA	Unreleased	1998-10-01	1998-06-30	
NFL Xtreme 2	989 Sports	989 Sports	Unreleased	Unreleased	1999-06-30	
N-Gauge Unten Kibun Game: Gatan Goton			Unreleased	Unreleased	Unreleased	
NGEN Racing	Curly Monsters	Infogrames	Unreleased	2000-05-12	2000-05-31	
NHL 97	Visual Concepts	EA Sports	Unreleased	Unreleased	1996-10-31	
NHL 98	EA Sports	EA Sports	Unreleased	Unreleased	1997-08-31	
NHL 99	EA Canada	EA Sports	Unreleased	Unreleased	1998-09-30	
NHL 2000	EA Sports	EA Sports	Unreleased	1999-01-01	1999-09-30	
NHL 2001	Page 44 Studios	EA Sports	Unreleased	Unreleased	2000-09-26	
NHL Blades of Steel 2000	Konami	Konami	Unreleased	Unreleased	2000-01-31	
NHL Breakaway 98	Sculptured Software	Acclaim	Unreleased	Unreleased	1997-09-30	
NHL Championship 2000	Fox Interactive	Fox Interactive	Unreleased	Unreleased	1999-10-06	
NHL FaceOff	Sony Interactive Studios America	SCEA	Unreleased	Unreleased	1995-11-30	
NHL FaceOff '97	Killer Game	SCEA	Unreleased	Unreleased	1996-10-31	
NHL FaceOff 98	Killer Game	SCEA	Unreleased	1998-04-01	1997-09-30	
NHL FaceOff 99	Killer Game	989 Sports	Unreleased	Unreleased	1998-09-30	
NHL FaceOff 2000	SolWorks	989 Sports	Unreleased	Unreleased	1999-08-31	
NHL FaceOff 2001	SolWorks	SCEA	Unreleased	Unreleased	2000-09-05	
NHL PowerPlay '96	Radical Entertainment	Virgin Interactive	Unreleased	Unreleased	1996-09-30	
NHL PowerPlay 98	Radical Entertainment	Virgin Interactive	Unreleased	Unreleased	1997-08-31	
NHL Rock the Rink	EA Canada	Electronic Arts	Unreleased	Unreleased	2000-02-29	
Nice Cats	Midas Interactive	The Code Monkeys	Unreleased	2000-09-01	Unreleased	
Nicktoons Racing	Software Creations	Infogrames|Nickelodeon	Unreleased	Unreleased	2001-09-07	
Night Raid	Takumi Corporation	Takumi Corporation	2002-10-10	Unreleased	Unreleased	
Nightmare Creatures	Kalisto	Activision	1998-02-26	1998-01-01	1997-09-30	
Nightmare Creatures II	Kalisto	Konami	Unreleased	Unreleased	2000-04-29	
Ninja Jaja Marukun: Onikiri Ninpoucho			Unreleased	Unreleased	Unreleased	
Ninja: Shadow of Darkness	Core Design	Eidos	Unreleased	1998-09-01	1998-09-30	
Ninpu Sentai Hurricaneger	Bandai	Bandai	2002-11-28	Unreleased	Unreleased	
No Fear Downhill Mountain Biking	Unique Development Studios	Codemasters	Unreleased	Unreleased	1999-11-30	
No One Can Stop Mr. Domino!	Artdink	Acclaim	1998-01-08	1998-09-01	1998-10-31	
Noddy's Magic Adventure	BBC	BBC	Unreleased	2000-12-01	Unreleased	
NOel: Not Digital			1996-07-26	Unreleased	Unreleased	
Noon			1998-01-29	Unreleased	Unreleased	
Norse By Norsewest	Beam Software	Interplay	Unreleased	Unreleased	1997-11-17	
The Note PAL|Koukai Sarena Katta Shuki: The Note JP	Team Bughouse	SunSoft	1997-01-17	1997-10-01	Unreleased	
Novastorm	Psygnosis	Psygnosis	1996-03-01	1995-09-29	1995-11-02	
Nuclear Strike	Electronic Arts	Electronic Arts	Unreleased	1997-09-01	1997-08-31	
NuPa: Numeric Paint Puzzle			1996-03-29	Unreleased	Unreleased	
Obee: Tale of the Circus			Unreleased	Unreleased	Unreleased	
Ocean's Dream			Unreleased	Unreleased	Unreleased	
Oddworld: Abe's Exoddus	Oddworld Inhabitants	GT Interactive	Unreleased	Unreleased	1998-11-01	
Oddworld: Abe's Oddysee	Oddworld Inhabitants	GT Interactive	Unreleased	Unreleased	1997-09-19	
O.D.T.	Psygnosis	Psygnosis	Unreleased	Unreleased	1998-08-31	
Off-World Interceptor Extreme	Crystal Dynamics	Crystal Dynamics	Unreleased	Unreleased	1995-09-29	
Ogre Battle	Quest	Atlus	1997-09-25	Unreleased	1997-07-31	
Oha Star Dance Dance Revolution	Konami	Konami	2000-09-14	Unreleased	Unreleased	
Ojyousama Express			1990-01-01	Unreleased	Unreleased	
Olympic Soccer: Atlanta 1996	Silicon Dreams Studio	Eidos Interactive	1996-11-08	1996-07-01	1996-07-18	
Olympic Summer Games: Atlanta 1996	Silicon Dreams Studio	Eidos Interactive	Unreleased	Unreleased	1996-07-23	
Omega Assault	Naps Team	Phoenix Games	Unreleased	2004-08-19	Unreleased	
Omega Boost	Polyphony Digital	Sony Computer Entertainment	1999-04-22	1999-09-14	1999-08-31	
One	Visual Concepts	ASC Games	Unreleased	Unreleased	1997-11-30	
One on One			Unreleased	Unreleased	Unreleased	
One Piece Mansion	Capcom	Capcom	2001-06-21	2001-11-16	2001-09-30	
One Two Smash: Tanoshii Tennis	Tears	Hect	2000-02-24	Unreleased	Unreleased	
Option Tuning Car Battle			1998-01-15	Unreleased	Unreleased	
Option Tuning Car Battle 2			1999-02-18	Unreleased	Unreleased	
Ore no Ryouri	SCE Japan Studio	SCEI JP	1999-09-09	Unreleased	Unreleased	
Overblood	Riverhillsoft	Electronic Arts NA|Electronic Arts PAL|Riverhillsoft JP	1996-08-02	1997-06-01	1997-05-22	
Overblood 2	Riverhillsoft	Riverhillsoft JP|Evolution Games PAL	1998-07-23	2001-04-13	Unreleased	
Overboard!|Shipwreckers! NA	Psygnosis	Psygnosis	Unreleased	1997-10-01	Unreleased	
Over Drivin' DX			Unreleased	Unreleased	Unreleased	
Over Drivin' Skyline Memorial			1997-10-02	Unreleased	Unreleased	
P.K.'s Math Studio			Unreleased	Unreleased	Unreleased	
P.K.'s Place: Carlos at the Races			Unreleased	Unreleased	Unreleased	
P.K.'s Place: Daphne and the Seventh Wonder			Unreleased	Unreleased	Unreleased	
P.K.'s Place: Hoopo the Seal			Unreleased	Unreleased	Unreleased	
P.K.'s Place: Party on the Patio			Unreleased	Unreleased	Unreleased	
PacaPaca Passion			1999-06-24	Unreleased	Unreleased	
Pac-Man World	Namco	Namco	1999-09-02	2000-02-28	1999-10-12	
Pajama Sam: You Are What You Eat From Your Head To Your Feet	Atari	Humongous Entertainment	Unreleased	Unreleased	2001-12-14	
PAL: Shinken Densetsu			Unreleased	Unreleased	Unreleased	
Pandemonium|Magical Hoppers JP	Crystal Dynamics	SCEA	1997-02-28	1996-11-01	1996-10-31	
Pandemonium 2|Miracle Jumpers JP	Crystal Dynamics	Midway	1998-05-21	1997-10-01	1997-09-30	
Panzer Bandit	Fill-in-Cafe	Banpresto	1997-08-07	Unreleased	Unreleased	
Panzer Front	Enterbrain	ASCII Entertainment JP|Avalon Interactive PAL|Agetec Inc. NA	1999-12-22	2001-04-17	2001-09-10	
Panzer General	SSI	SSI	Unreleased	1995-01-01	Unreleased	
Panzer General Assault			Unreleased	Unreleased	Unreleased	
Paperboy			Unreleased	Unreleased	Unreleased	
PAQA	SCEI		1999-09-22	Unreleased	Unreleased	
Paradise Casino			Unreleased	Unreleased	Unreleased	
PaRappa the Rapper	NaNaOn-Sha	SCEI	1996-12-06	1997-09-26	1997-10-31	
Parasite Eve	Squaresoft	Square EA	1998-03-29	Unreleased	1998-09-09	
Parasite Eve II	Squaresoft	Square EA	1999-12-16	2000-08-25	2000-09-12	
Paro Wars	Konami	KCE Tokyo	1997-09-25	Unreleased	Unreleased	
