Title	Developer(s)	Publisher(s)	Japan	Europe	North America	Notes
Arcade Party Pak	Digital Eclipse Software	Midway Games	Unreleased	2001-02-23	1999-09-30	
Arcade's Greatest Hits: The Atari Collection 1	Digital Eclipse Software	Midway Games	Unreleased	Unreleased	1996-12-31	
Arcade's Greatest Hits: The Atari Collection 2	Digital Eclipse Software	Midway Games	Unreleased	1998-04-17	1998-04-05	
Arcade's Greatest Hits: Midway Collection 2	Digital Eclipse Software	GT Interactive	Unreleased	1998-03-01	1997-11-30	
Archer Mclean's 3D Pool	Awesome Studios	Ignition	Unreleased	2003-10-17	Unreleased	
Area 51	Mesa Logic	Atari Games|Time Warner Interactive|Soft Bank JP	1997-03-20	1997-05-01	1996-11-26	
Ark of Time	Trecision S.p.A	Project Two Interactive BV	Unreleased	1998-07-01	Unreleased	
Arkanoid Returns	Taito Corporation	Taito Corporation	1997-08-07	Unreleased	Unreleased	
Armored Core	FromSoftware	FromSoftware JP|Agetec NA|Sony Computer Entertainment PAL	1997-07-10	1998-07-01	1997-10-31	
Armored Core: Master of Arena	FromSoftware	FromSoftware JP|Agetec NA	1999-02-04	Unreleased	2000-02-29	
Armored Core: Project Phantasma	FromSoftware	FromSoftware JP|ASCII Entertainment NA	1997-12-04	Unreleased	1998-09-30	
Armored Trooper Votoms: Lightning Slash	Takara	Takara	1999-03-18	Unreleased	Unreleased	
Armorines: Project S.W.A.R.M.	Acclaim Studios London	Acclaim Entertainment	2000-07-13	2001-11-23	2000-06-30	
Army Men 3D	The 3DO Company	The 3DO Company	Unreleased	2000-01-01	1999-02-28	
Army Men: Air Attack	The 3DO Company	The 3DO Company	Unreleased	2000-03-01	1999-11-02	
Army Men: Air Attack 2	The 3DO Company	The 3DO Company	Unreleased	2000-11-24	2000-09-26	
Army Men: Green Rogue	The 3DO Company	The 3DO Company	Unreleased	2001-04-27	2001-04-13	
Army Men: Sarge's Heroes	The 3DO Company	The 3DO Company	Unreleased	2000-01-01	2000-01-31	
Army Men: Sarge's Heroes 2	The 3DO Company	The 3DO Company	Unreleased	2000-11-24	2000-11-21	
Army Men: World War|Army Men: Operation Meltdown PAL	The 3DO Company	The 3DO Company	Unreleased	2000-01-01	2000-02-29	
Army Men: World War: Final Front|Army Men: Lock N' Load PAL	The 3DO Company	The 3DO Company	Unreleased	2001-03-30	2001-02-27	
Army Men: World War: Land, Sea, Air	The 3DO Company	The 3DO Company	Unreleased	Unreleased	2000-09-20	
Army Men: World War: Team Assault|Army Men: Team Assault PAL	The 3DO Company	The 3DO Company	Unreleased	2001-11-30	2001-11-28	
Arthur! Ready to Race	Mattel	The Learning Company	Unreleased	Unreleased	2000-11-01	
Assault: Retribution	Candle Light Studios	Telstar PAL|Midway NA	Unreleased	1998-09-01	1998-10-31	
Assault Rigs	Psygnosis	Psygnosis	1996-10-04	1996-02-01	1996-02-01	
Assault Suits Valken 2	TamTam	NCS	1999-07-29	Unreleased	Unreleased	
Asterix	Sourcery	Infogames	Unreleased	1999-03-01	Unreleased	
Asterix & Obelix Take On Caesar	Tek 5	Cryo Interactive	Unreleased	2000-06-01	Unreleased	
Asterix: Mega Madness	Unique Development Studios	Infogrames	Unreleased	2001-06-29	Unreleased	
Asteroids	Activision	Syrox Developments	Unreleased	1998-12-01	1998-10-31	
Asuka 120% Final: Burning Fest. Final	Family Soft	Family Soft	1999-05-27	Unreleased	Unreleased	
Asuka 120% Excellent: Burning Festival	Fill-In Cafe	SCEI	1999-05-09	Unreleased	Unreleased	
Asuka 120% Special Burning Fest	Fill-In Cafe	Family Soft	1996-03-29	Unreleased	Unreleased	
Atari Anniversary Edition Redux	Digital Eclipse Software	Infogrames	Unreleased	2003-01-01	2001-01-01	
Atelier Marie	Gust	Gust	1997-05-23	Unreleased	Unreleased	
Athena: Awakening From The Ordinary Life	Vistec	SNK	1999-03-11	Unreleased	Unreleased	
Atlantis: The Lost Empire	Eurocom Entertainment Software	SCEA	Unreleased	2001-10-19	2001-06-14	
Atlantis, the Lost Continent	The Code Monkeys	Phoenix Games	Unreleased	2003-01-01	Unreleased	
Atlantis: The Lost Tales	Cryo Interactive	Cryo Interactive	Unreleased	1998-10-01	Unreleased	
Attack of the Saucerman	Psygnosis	SCEE	Unreleased	1999-06-01	Unreleased	
ATV Mania	Gotham Games	Take 2 Interactive	Unreleased	Unreleased	2003-07-23	
ATV Quad Power Racing	Climax Group	Acclaim Entertainment	2000-10-13	Unreleased	2000-08-23	
ATV Racers	Midas Interactive	Bethesda Software	Unreleased	2003-06-13	2003-12-01	
AubirdForce	Bandai	Bandai	1996-10-25	Unreleased	Unreleased	
Austin Powers Pinball	Gotham Games	Take 2 Interactive	Unreleased	2002-10-25	2002-10-25	
Auto Destruct	Neurostone	Electronic Arts	Unreleased	1997-12-01	1998-02-28	
Ayrton Senna Kart Duel 2	Gaps	Gaps JP|Sunsoft PAL	1997-11-20	1997-01-01	Unreleased	
Azito 2	Astec 21	Banpresto	1998-10-15	Unreleased	Unreleased	
Aztec: The Curse in the Heart of the City of Gold	Cryo Interactive	France Telecom Multimedia	Unreleased	2000-06-01	Unreleased	
Azure Dreams	Konami	KCE Tokyo	1997-11-13	1998-12-01	1998-06-30	
Baby Felix Tennis	LSP	LSP	Unreleased	2002-12-07	Unreleased	
Baby Universe	SCEI	SCEI JP|SCEE PAL	1997-06-20	1998-10-09	Unreleased	
"Backguiner ~Yomigaeru Yuushatachi~ ""Guiner Tenshou"""			1998-07-30	Unreleased	Unreleased	
"Backguiner ACT-2 ~Yomigaeru Yuushatachi~ Hishou Hen ""Uragiri no Senjou"""			1998-10-01	Unreleased	Unreleased	
Backstreet Billiards	Agenda	Argent JP|ASCII Entertainment NA	1998-07-30	Unreleased	1998-11-30	
Backyard Soccer	Humongous Entertainment	Infogrames	Unreleased	Unreleased	2001-09-28	
Bakuretsu Hunter: Mahjong Special		Banpresto	1996-10-25	Unreleased	Unreleased	
Bakusou Dekotora Densetsu: Art Truck Battle		Human Entertainment	1998-06-25	Unreleased	Unreleased	
Bakusou Kyoudai Let's & Go!! Eternal Wings	Jaleco Entertainment	Jaleco Entertainment	1998-07-30	Unreleased	Unreleased	
Baldies|Baldy Land JP	Creative Edge Software	Banpresto JP|Phoenix Games PAL|Bethesda Softworks NA	1998-11-19	2003-08-08	2003-11-15	
Ball Breakers NA|Moho PAL	Lost Toys	Take-Two Interactive	Unreleased	2000-01-01	2000-07-26	
Ballblazer Champions	Factor 5	NA LucasArts|PAL CTO SpA	1998-03-19	1997-10-01	1997-03-31	
Ballerburg Castle Chaos	Ascaron Entertainment	Mud Duck Productions NA|Phoenix Games PAL	Unreleased	2003-01-01	2002-01-01	
Ballistic	Mitchell Corporation	THQ	Unreleased	2000-10-20	1999-10-31	
Barbie Explorer	Runecraft	Vivendi Universal Games	Unreleased	2001-04-09	2001-09-04	
Barbie Race and Ride	Runecraft	SCEE	Unreleased	1999-11-09	1999-01-01	
Barbie Super Sports	Runecraft	SCEE	Unreleased	2000-04-20	1999-12-30	
Barbie: Gotta Have Games	Digital Illusions	VU Games	Unreleased	Unreleased	2003-11-07	
Baroque	Sting Entertainment	Sting Entertainment	1999-10-28	Unreleased	Unreleased	
Baseball 2000	Interplay	Interplay	Unreleased	1999-11-01	1999-03-31	
Bases Loaded '96	Jaleco Entertainment	Jaleco Entertainment	Unreleased	Unreleased	1995-12-01	
Bass Landing	TOSE	ASCII Entertainment|Agetec Inc. NA	1999-01-14	Unreleased	2000-09-07	
Bass Rise	Bandai	Bandai	1999-03-25	Unreleased	1999-09-30	
Bastard!!	Opus	Seta Corporation	1996-12-28	Unreleased	Unreleased	
Batman & Robin	Probe Entertainment	Acclaim Entertainment	Unreleased	1998-08-05	1998-07-31	
Batman Beyond: Return of the Joker NA|Batman of the Future: Return of the Joker PAL	Kemco	Ubisoft	2001-05-01	2000-12-15	2000-11-20	
Batman Forever: The Arcade Game	Iguana Entertainment	Acclaim	1997-02-14	1996-12-01	1996-12-03	
Batman: Gotham City Racer	Sinister Games	Ubisoft	Unreleased	2001-05-18	2001-04-19	
Battle Arena Nitoshinden			1996-09-20	Unreleased	Unreleased	
Battle Arena Toshinden	Tamsoft	SCEA	1995-01-01	1995-09-09	1995-09-29	
Battle Arena Toshinden 2	Tamsoft	Takara and Toshiaki Ota	1995-12-29	1996-06-01	1996-05-01	
Battle Arena Toshinden 2 Plus	Tamsoft	Takara	1996-08-09	Unreleased	Unreleased	
Battle Arena Toshinden 3	Tamsoft	Takara	1996-12-27	1997-03-01	1997-03-31	
Battle Hunter	Agetec	Tommo Inc.	1999-12-27	1997-08-01	2001-06-01	
BattleSport	Cyclone Studios	The 3DO Company	Unreleased	Unreleased	1997-06-30	
Battle Stations	Electronic Arts	Realtime Associates	Unreleased	Unreleased	1997-03-31	
Battletanx: Global Assault	The 3DO Company	The 3DO Company	Unreleased	2000-06-30	2000-02-29	
Beach Volleyball		Canal + Multimedia	Unreleased	Unreleased	Unreleased	
Beast Wars: Transformers	Takara	Hasbro Interactive	1998-03-26	1998-03-01	1997-12-05	
Beatmania	Konami	Konami	1998-10-01	Unreleased	Unreleased	
Beatmania (Europe)	Konami	Konami	Unreleased	2000-06-01	Unreleased	
Beatmania Append 3rd Mix	Konami	Konami	1998-12-23	Unreleased	Unreleased	
Beatmania Append 3rd Mix Mini	Konami	Konami	1998-10-29	Unreleased	Unreleased	
Beatmania Append 4th Mix	Konami	Konami	1999-09-09	Unreleased	Unreleased	
Beatmania Append 5th Mix	Konami	Konami	2000-03-02	Unreleased	Unreleased	
Beatmania Append Club mix	Konami	Konami	2000-12-21	Unreleased	Unreleased	
Beatmania Append Gottamix	Konami	Konami	1999-05-27	Unreleased	Unreleased	
Beatmania Append Gottamix 2 - Going Global	Konami	Konami	2000-09-07	Unreleased	Unreleased	
Beatmania Append Yebisu Mix	Konami	Konami	1999-01-01	Unreleased	Unreleased	
Beatmania 6th Mix + Core Mix	Konami	Konami	2002-03-26	Unreleased	Unreleased	
Beatmania Best Hits	Konami	Konami	2000-07-27	Unreleased	Unreleased	
Beatmania Featuring Dreams Come True	Konami	Konami	2000-07-27	Unreleased	Unreleased	
Beatmania - The Sound of Tokyo	Konami	Konami	2001-03-29	Unreleased	Unreleased	
Beat Planet Music	Opus	SCEI	2000-01-20	Unreleased	Unreleased	
Bedlam	Mirage Technologies	GT Interactive	Unreleased	1997-07-04	Unreleased	
Bakuten Shoot Beyblade JP   Beyblade: Let it Rip! NA/PAL	WAVEDGE	Crave Entertainment US|Atari PAL|Takara JP	2001-12-05	2003-08-22	2002-12-05	
Bakuten Shoot Beyblade 2002: Beybattle Tournament 2	Takara	Takara	2002-08-01	Unreleased	Unreleased	
Beyond the Beyond	Camelot Software Planning	SCEI|SCEA	1995-11-03	Unreleased	1996-08-31	
Big Air	The Pitbull Syndicate Limited	Accolade	Unreleased	1999-04-01	1999-02-28	
Big Bass Fishing	Coresoft	Take 2 Interactive	Unreleased	2002-04-24	2002-05-02	
Big Bass World Championship	Hot-B	Starfish	Unreleased	Unreleased	1997-01-01	
Big League Slugger Baseball	Agetec Inc.	Now Production	Unreleased	Unreleased	2003-07-15	
Big Ol' Bass 2|Fisherman's Bait 2 PAL|Exciting Bass 3 JP	Konami Computer Entertainment Nagoya	Konami	Unreleased	Unreleased	Unreleased	
Big Strike Bowling	Coresoft NA|Gotham Games PAL	Take 2 Interactive	Unreleased	2003-04-17	2003-01-01	
Bio F.R.E.A.K.S.	Saffire	Midway Games NA|GT Interactive PAL	Unreleased	1998-09-01	1998-04-30	
Bishi Bashi Special	Konami	Konami	1998-09-17	Unreleased	Unreleased	
Bishi Bashi Special 2	Konami	Konami	1999-09-02	2000-07-07	Unreleased	
Bishi Bashi Special 3: Step Champ	Konami	Konami	2000-06-29	Unreleased	Unreleased	
Black/Matrix 00	InterChannel	InterChannel	2004-05-11	Unreleased	Unreleased	
Black/Matrix Cross	Flight-Plan	InterChannel	2000-12-14	Unreleased	Unreleased	
Black Bass with Blue Marlin	Hot B	Starfish	Unreleased	Unreleased	1999-11-18	
Black Dawn	Black Ops Entertainment	Virgin Interactive Entertainment	Unreleased	1997-02-01	1996-09-30	
Blade	Hammerhead Ltd	Activision	Unreleased	2000-12-15	2000-11-23	
BladeMaker	Shoeisha	Shoeisha	1999-07-01	Unreleased	Unreleased	
Blades of Blood: Samurai Shodown III	Ukiyotei	SCEE PAL|SNK JP|SCEA NA	1996-08-30	1996-01-01	1996-11-30	
Blast Chamber	Attention To Detail	Activision	Unreleased	1996-11-01	1996-09-30	
Blast Lacrosse	Sandbox Studios	Acclaim Sports	Unreleased	Unreleased	2001-05-01	
Blast Radius	Pitbaull Syndicate	Psygnosis	Unreleased	Unreleased	1999-02-28	
Blaster Master	Sunsoft	Sunsoft	2000-07-31	Unreleased	Unreleased	
Blaster Master: Blasting Again	Sunsoft	Crave Entertainment	Unreleased	Unreleased	2001-05-06	
Blasto	Sony Interactive Studios America	SCEE	Unreleased	1998-08-01	1998-04-15	
Blaze and Blade: Eternal Quest	Technology and Entertainment Software	Funsoft	1998-01-28	1999-06-04	Unreleased	
Blazing Dragons	The Illusions Game Company	Crystal Dynamics	Unreleased	1996-11-01	1996-10-31	
Block Buster|Block Kuzushi 2 JP	Marvelous	Phoenix Games	2000-02-03	2003-08-08	Unreleased	
Blockids	MonkeyPaw Games	Athena	Unreleased	Unreleased	1996-08-04	
Block Kuzushi	Karuchua	Karuchua	1999-08-12	Unreleased	Unreleased	
Block & Switch	Serene	Serene	Unreleased	Unreleased	2002-01-24	
Blood Lines	Radical Entertainment	SCEE	Unreleased	1999-04-01	Unreleased	
Blood Omen: Legacy of Kain	Silicon Knights	Crystal Dynamics	1997-05-30	1997-03-01	1996-11-01	
Bloody Roar	SCEA	8ing/Raizing	1997-11-06	1998-03-01	1997-10-31	
Bloody Roar 2	8ing/Raizing|Hudson Soft	Virgin Interactive Entertainment	1999-01-28	1999-07-01	1999-04-30	
Blue Breaker	Human Club	Human entertainment	1997-12-25	Unreleased	Unreleased	
B.L.U.E. Legend of Water	CAProduction	Hudson Soft	1998-07-09	Unreleased	Unreleased	
Blue's Clues: Blue's Big Musical	Terraglyph Interactive Studios	THQ and Nick Jr.	Unreleased	Unreleased	2001-08-24	
Board Game Top Shop	KID	A1 Games	Unreleased	Unreleased	2001-12-04	
Bob the Builder: Can We Fix It?	THQ	THQ, BBC	Unreleased	2000-01-12	2001-09-30	
Bogey Dead 6	Asmik Ace Entertainment	SCEA	1996-01-26	1996-09-01	1996-08-06	
Boku no Natsuyasumi	Millennium Kitchen	SCEI	2000-06-22	Unreleased	Unreleased	
Bokujo Monogatari Harvest Moon For Girls	Victor Interactive Software	Natsume	2000-12-07	Unreleased	Unreleased	
Bomberman Land	Hudson Soft	Hudson Soft	2000-12-21	Unreleased	Unreleased	
Bomberman Fantasy Race	Graphic Research Co. Ltd	Virgin Interactive	1998-08-06	2000-07-01	1999-03-31	
Bomberman Party Edition	Metro	Vatical Entertainment	1998-12-10	1999-07-01	2000-09-19	
Bomberman Wars	Hudson	Hudson	1998-04-16	Unreleased	Unreleased	
Bomberman World	Hudson Soft	Atlus	1998-01-29	1998-08-01	1998-09-30	
The Bombing Islands	Kotobuki Systems	Kemco	1997-07-18	1998-01-01	2001-05-02	
Bonogurashi: Kore de Kanpeki Disu	Amuse	Amuse	1996-06-07	Unreleased	Unreleased	
Boombots	The Neverhood	SouthPeak Games	Unreleased	Unreleased	1999-10-31	
Bottom of the 9th	Konami	Konami	1996-10-25	Unreleased	1996-04-04	
Bottom of the 9th '97|Jikkyou American Baseball JP	Konami	Konami	1998-05-14	Unreleased	1997-01-01	
Bottom of the 9th '99	Konami	Konami	Unreleased	Unreleased	1998-08-31	
Bounty Hunter Sara	Flagship	Capcom	2001-05-24	Unreleased	Unreleased	
Boxing	Agetec Inc.	Tamsoft	Unreleased	Unreleased	2001-05-14	
