Title-main	Title-na	Title-eu	Title-jp	Title-alt	regions	genre	subgenre
M.A.C.S. Basic Rifle Marksmanship	M.A.C.S. Basic Rifle Marksmanship					Shooter	Light gun shooter
Madden NFL '94			NFL Pro Football '94		NA|EU|JP	Sports	American Football
Madden NFL '95					NA|EU	Sports	American Football
Madden NFL '96					NA	Sports	American Football
Madden NFL 97					NA	Sports	American Football
Madden NFL 98					NA	Sports	American Football
Madou Monogatari: Hanamaru Dai Youchienji					JP	RPG	Action RPG
Magic Boy	Magic Boy	Magic Boy				Platform	
Magic Knight Rayearth					JP	RPG	Action RPG
Magic Sword					NA|EU|JP	Action	Beat 'em up and hack and slash
Magical Drop			Magical Drop		JP	Puzzle	Matching
Magical Drop 2			Magical Drop 2		JP	Puzzle	Matching
Magical Pop'n			Magical Pop'n			Platform	
Magical Taruruuto-kun: Magic Adventure			Magical Taruruuto-kun: Magic Adventure			Platform	
Magna Braban: Henreki no Yuusha					JP	RPG	Console-style RPG
Mahjong Club					JP	Traditional games	Tile games
Mahjong Gokuu Tenjiku					JP	Traditional games	Tile games
Mahjong Hanjouki					JP	Traditional games	Tile games
Mahjong Sengoku Monogatari					JP	Traditional games	Tile games
Mahjong Taikai II					JP	Traditional games	Tile games
The Mahjong Touhaiden					JP	Traditional games	Tile games
Mahōjin Guru Guru					JP	RPG	Action RPG
Mahou Poi Poi Poitto!					JP	Puzzle	Action puzzle
Mahoujin Guru Guru 2					JP	RPG	Action RPG
Majin Tensei					JP	RPG	Tactical role-playing
Majin Tensei II: Spiral Nemesis					JP	RPG	Tactical role-playing
Majyūō			Majuu Ou			Platform	
Maka Maka					JP	RPG	
Makeruna! Makendō 2: Kimero Youkai Souri			Makeruna! Makendou 2			Action	Fighting
Manchester United Championship Soccer				Lothar Matthaus Super Soccer (DE)	EU|DE	Sports	Football
Marchen Adventure Cotton 100%			Marchen Adventure Cotton 100%			Shooter	Fixed shooter
Mario & Wario					JP	Puzzle	Action puzzle
Mario is Missing!					NA|EU	Traditional games	Educational
Mario no Super Picross					JP	Puzzle	Logic
Mario Paint					NA|EU|JP	Traditional games	Educational
Mario's Early Years: Fun with Letters					NA	Traditional games	Educational
Mario's Early Years: Fun with Numbers					NA	Traditional games	Educational
Mario's Early Years: Preschool Fun					NA	Traditional games	Educational
Mario's Time Machine					NA|EU	Traditional games	Educational
Mark Davis' The Fishing Master				Oomono Black Bass Fishing: Jinzouko Hen (JP)	NA|JP	Sports	Fishing
Marko's Magic Football		Marko's Magic Football				Platform	
Marmalade Boy					JP	Adventure	Graphic adventure
Marvel Super Heroes: War of the Gems					NA|EU|JP	Action	Beat 'em up and hack and slash
Marvelous: Mouhitotsu no Takarajim					JP	Adventure	Action-adventure
Mary Shelley's Frankenstein	Mary Shelley's Frankenstein					Platform	
The Mask	The Mask	The Mask	The Mask			Platform	
Maten Densetsu: Senritsu no Ooparts					JP	RPG	
Math Blaster: Episode 1					NA	Traditional games	Educational
Matsukata Hiroki no Super Trawling					JP	Sports	Fishing
Matsumura Kunihiro Den: Saikyō no Rekishi o Nurikaero!			Matsumura Kuni Hiroden: Saikyou no Rekishi wo Nurikaero!			Action	Fighting
Maui Mallard in Cold Shadow	Maui Mallard in Cold Shadow	Donald in Maui Mallard	Donald no Maui Mallard			Platform	
Mazinger Z			Mazinger Z			Platform	
Mecarobot Golf				Serizawa Nobuo no Birdie Try (JP)	NA|JP	Sports	Golf
MechWarrior				BattleTech (JP)	NA|EU|JP	Racing	Vehicular combat
MechWarrior 3050				BattleTech 3050 (JP)	NA|EU|JP	Racing	Vehicular combat
Mega Lo Mania				Mega lo Mania: Jikuu Daisenryaku (JP)	EU|JP	Strategy	Real-time strategy
Mega Man & Bass			Rockman & Forte			Platform	
Mega Man 7	Mega Man 7	Mega Man 7	Rockman 7: Shukumei no Taiketsu!			Platform	
Mega Man Soccer				Rockman's Soccer (JP)	NA|JP	Sports	Football
Mega Man X	Mega Man X	Mega Man X	Rockman X			Platform	
Mega Man X2	Mega Man X2	Mega Man X2	Rockman X2			Platform	
Mega Man X3	Mega Man X3	Mega Man X3	Rockman X3			Platform	
Melfand Stories			Melfand Stories			Platform	
Metal Combat: Falcon's Revenge	Metal Combat: Falcon's Revenge	Metal Combat: Falcon's Revenge				Shooter	Light gun shooter
Metal Marines				Militia (JP)	NA|EU|JP	Strategy	Real-time strategy
Metal Max 2					JP	RPG	Console-style RPG
Metal Max Returns					JP	RPG	Console-style RPG
Metal Morph	Metal Morph					Platform	Run and gun platformers
Metal Slader Glory: Director's Cut					JP	Adventure	Graphic adventure
Metal Warriors	Metal Warriors					Platform	Run and gun platformers
Michael Andretti's Indy Car Challenge					NA|JP	Racing	Formula One
Michael Jordan: Chaos in the Windy City	Michael Jordan: Chaos in the Windy City	Michael Jordan: Chaos in the Windy City				Platform	
Mickey Mania: The Timeless Adventures of Mickey Mouse	Mickey Mania: The Timeless Adventures of Mickey Mouse	Mickey Mania: The Timeless Adventures of Mickey Mouse	Mickey Mania			Platform	
Mickey no Tokyo Disneyland Daibōken			Mickey no Tokyo Disneyland Daibōken			Platform	
Mickey's Ultimate Challenge	Mickey's Ultimate Challenge					Platform	Puzzle platformer
Micro Machines					NA|EU	Racing	Multiple styles
Micro Machines 2: Turbo Tournament					EU	Racing	Multiple styles
Might and Magic II: Gates to Another World	Might and Magic II: Gates to Another World				JP|EU	RPG	Computer-style RPG
Might and Magic III: Isles of Terra					NA	RPG	Computer-style RPG
Mighty Max	Mighty Max	Mighty Max				Platform	
Mighty Morphin Power Rangers					NA|EU|JP	Action	Beat 'em up and hack and slash
Mighty Morphin Power Rangers Fighting Edition	Mighty Morphin Power Rangers Fighting Edition	Mighty Morphin Power Rangers Fighting Edition				Action	Fighting
Mighty Morphin Power Rangers: The Movie					NA|EU	Action	Beat 'em up and hack and slash
Milandra					JP	RPG	Action RPG
Mini Yonku Let's & Go!!: Power WGP 2					JP	RPG	
Mini Yonku Shining Scorpion: Let's & Go!!					JP	RPG	
Miracle Casino Paradise					JP	Traditional games	Gambling
Miracle Girls			Miracle Girls			Platform	
Miracle Piano					NA	Traditional games	Educational
Miyaji Shachou no Pachinko Fan: Shouri Sengen 2					JP	Traditional games	Gambling
Mizuki Shigeru no Youkai Hyakkiyakou						Traditional games	Board games
MLBPA Baseball				Fighting Baseball (JP)	NA|JP	Sports	Baseball
Mobile Fighter G Gundam			Kidou Butouden G-Gundam			Action	Fighting
Mobile Suit Victory Gundam			Kidou Senshi V Gundam			Action	Fighting
Mohawk & Headphone Jack	Mohawk & Headphone Jack	Mohawk & Headphone Jack				Platform	
Momotarou Dentetsu Happy						Traditional games	Board games
Monopoly						Traditional games	Board games
Monopoly 2						Traditional games	Board games
Monstania					JP	RPG	Tactical role-playing
Monster Maker III: Hikari no Majutsushi					JP	RPG	
Monster Maker Kids: Ousama ni Naritai					JP	RPG	
Mortal Kombat	Mortal Kombat	Mortal Kombat	Mortal Kombat			Action	Fighting
Mortal Kombat 3	Mortal Kombat 3	Mortal Kombat 3				Action	Fighting
Mortal Kombat II	Mortal Kombat II	Mortal Kombat II	Mortal Kombat II: Kyuukyoku Shinken			Action	Fighting
Mōryō Senki MADARA 2					JP	RPG	Console-style RPG
Motoko-chan no Wonder Kitchen					JP	Traditional games	Educational
Motteke Oh! Dorobou					JP	Adventure	Action-adventure
Mountain Bike Rally				Cannondale Cup	NA	Sports	Bicycle racing
Mr. Do!	Mr. Do!	Mr. Do!	Mr. Do!			Action	Maze
Mr. Nutz	Mr. Nutz	Mr. Nutz	Mr. Nutz			Platform	
Ms. Pac-Man	Ms. Pac-Man	Ms. Pac-Man				Action	Maze
Mujintou Monogatari					JP	Adventure	Graphic adventure
Multi Play Volleyball					JP	Sports	Volleyball
Musya	Musya: The Classic Japanese Tale of Horror		Gousou Shinrai Monogatari: Musya			Platform	
Mystery Circle					JP	Puzzle	Action puzzle
Mystery Dungeon: Shiren the Wanderer			Fushigi no Dungeon 2: Furai no Shiren		JP	RPG	Roguelike
Mystic Ark					JP	RPG	
Nage Libre: Seijaku no Suishin			Nage Libre: Seijaku no Suishin			Platform	
Nakajima Satoru F-1 Hero '94					JP	Racing	Formula One
Nakajima Satoru Super F-1 Hero					JP	Racing	Formula One
Nakano Koichi Kanshuu: Keirin-Ou					JP	Sports	Bicycle racing
Naki no Ryū: Mahjong Hishō-den					JP	Traditional games	Tile games
Namco Open					JP	Sports	Golf
Nankoku Shōnen Papuwa-kun			Nankoku Shōnen Papuwa-kun			Platform	
Naruhodo! The World					JP	Traditional games	Trivia & game show
Natsuki Crisis Battle			Natsuki Crisis Battle			Action	Fighting
Natsume Championship Wrestling				Zen-Nippon Pro Wrestling Dash: Sekai Saikyō Tag	NA	Sports	Wrestling
NBA All-Star Challenge					NA|EU|JP	Sports	Basketball
NBA Give 'N Go				NBA Jikkyou Basket: Winning Dunk (JP)	NA|EU|JP	Sports	Basketball
NBA Hangtime					NA|EU	Sports	Basketball
NBA Jam					NA|EU|JP	Sports	Basketball
NBA Jam Tournament Edition					NA|EU|JP	Sports	Basketball
NBA Live '95					NA|EU|JP	Sports	Basketball
NBA Live '96					NA|EU	Sports	Basketball
NBA Live '97					NA|EU	Sports	Basketball
NBA Live '98					NA	Sports	Basketball
NBA Showdown 94				NBA Pro Basketball '94: Bulls vs Suns (JP)	NA|JP	Sports	Basketball
NCAA Basketball				World League Basketball (EU)|Super Dunk Shot (JP)	NA|EU|JP	Sports	Basketball
NCAA Final Four Basketball					NA	Sports	Basketball
NCAA Football					NA	Sports	American Football
Nekketsu Tairiku Burning Heroes					JP	RPG	Console-style RPG
Neugier: Umi to Kaze no Koudou					JP	Adventure	Action-adventure
New Mobile Report Gundam Wing: Endless Duel			Shin Kidou Senki Gundam W: Endless Duel			Action	Fighting
New Yatterman: Nandai Kandai Yajirobee			New Yatterman: Nandai Kandai Yajirobee			Platform	
Newman/Haas IndyCar featuring Nigel Mansell				Nigel Mansell IndyCar (JP)	NA|EU|JP	Racing	Formula One
NFL Football					NA|EU|JP	Sports	American Football
NFL Quarterback Club					NA|EU|JP	Sports	American Football
NFL Quarterback Club '96					NA|EU|JP	Sports	American Football
NHL '94				NHL Pro Hockey '94 (JP)	NA|EU|JP	Sports	Hockey
NHL 95					NA|EU	Sports	Hockey
NHL 96					NA|EU	Sports	Hockey
NHL 97					NA|EU	Sports	Hockey
NHL 98					NA	Sports	Hockey
NHL Stanley Cup				Super Hockey (EU)	NA|EU	Sports	Hockey
NHLPA Hockey '93					NA|EU	Sports	Hockey
Nice de Shot					JP	Sports	Golf
Nichibutsu Arcade Classics					JP	Action	Multi-genre action
Nichibutsu Arcade Classics 2: Heiankyo Alien					JP	Action	Multi-genre action
Nichibutsu Collection 1			Nichibutsu Collection 1			Multi-game collection	
Nichibutsu Collection 2			Nichibutsu Collection 2			Multi-game collection	
Nickelodeon Guts					NA	Sports	Extreme sports
Nigel Mansell's World Championship Racing				Nigel Mansell's F-1 Challenge (JP)	NA|EU|JP	Racing	Formula One
Ninja Gaiden Trilogy				Ninja Ryuukenden Tomoe (JP)	NA|JP	Action	Beat 'em up and hack and slash
The Ninja Warriors				The Ninja Warriors Again (JP)	NA|EU|JP	Action	Beat 'em up and hack and slash
Nintama Rantarō			Nintama Rantarō			Platform	
Nintama Rantarō 2			Nintama Rantarō 2			Platform	
Nintama Rantarō 3			Nintama Rantarō 3			Platform	
Nintama Rantarō Special			Nintama Rantarō Special			Platform	
Nintama Rantarō: Ninjutsu Gakuen Puzzle Taikai no Dan					JP	Puzzle	Action puzzle
Nishijin Pachinko Monogatari					JP	Traditional games	Gambling
Nishijin Pachinko Monogatari 2					JP	Traditional games	Gambling
Nishijin Pachinko Monogatari 3					JP	Traditional games	Gambling
No Escape					NA	Adventure	Action-adventure
Nobunaga Kouki					JP	Strategy	Turn-based strategy
Nobunaga no Yabou: Haouden					JP	Strategy	Turn-based strategy
Nobunaga no Yabou: Tenshouki					JP	Strategy	Turn-based strategy
Nobunaga's Ambition				Super Nobunaga no Yabou: Zengoku Han (JP)	NA|JP	Strategy	Turn-based strategy
Nobunaga's Ambition: Lords of Darkness				Super Nobunaga no Yabou: Bushou Fuunroku (JP)	NA|JP	Strategy	Turn-based strategy
Nolan Ryan's Baseball				Super Stadium (JP)	NA|JP	Sports	Baseball
Nomark Baku Haitou: Shijou Saikyou no Jakushi Tatsu					JP	Traditional games	Tile games
Nontan to Issho: Kurukuru Puzzle					JP	Puzzle	Action puzzle
Nosferatu					NA|JP	Adventure	Action-adventure
NTT JRA PAT					JP	Traditional games	Gambling
NTT JRA PAT: Wide Baken Taiyou					JP	Traditional games	Gambling
Numbers Paradise					JP	Puzzle	Action puzzle
Obitus					NA	RPG	Computer-style RPG
Ochan no Oekaki Logic					JP	Puzzle	Logic
Oda Nobunaga: Haou no Gundan					JP	Strategy	Turn-based strategy
Oekaki Logic					JP	Puzzle	Logic
Oekaki Logic 2					JP	Puzzle	Logic
Ogre Battle: March of the Black Queen	Ogre Battle: March of the Black Queen		Densetsu no Ogre Battle		JP|NA	RPG	Tactical role-playing
Okamoto Ayako to Match Play Golf					JP	Sports	Golf
Olivia's Mystery					JP	Puzzle	Action puzzle
Olympic Summer Games					NA|EU	Sports	Olympic games
Ongaku Tsukūru: Kanadeeru					JP	Traditional games	Educational
Onita Atsushi FMW					JP	Sports	Wrestling
Onizuka Katsuya Super Virtual Boxing					JP	Sports	Boxing
Operation Europe: Path to Victory				Europa Sensen (JP)	NA|JP	Strategy	Turn-based strategy
Operation Logic Bomb	Operation Logic Bomb	Operation Logic Bomb	Ikari no Yousai			Shooter	Multidirectional shooter
Operation Thunderbolt	Operation Thunderbolt					Shooter	Light gun shooter
Oraga Land Shusai: Best Farmer Shuukaku-Sai					JP	Puzzle	Action puzzle
Oscar	Oscar	Oscar				Platform	
Ossu!! Karatebu			Ossu!! Karatebu			Action	Fighting
Othello World						Traditional games	Board games
Otoboke Ninja Colosseum			Otoboke Ninja Colosseum			Action	
Otogirisou					JP	Adventure	Graphic adventure
Out to Lunch	Out to Lunch	Out to Lunch				Platform	
Outlander	Outlander	Outlander				Action	
Ōzumō Spirit					JP	Sports	Sumo
P.T.O. II: Pacific Theater of Operations				Teitoku no Ketsudan II (JP)	NA|JP	Strategy	Turn-based strategy
P.T.O.: Pacific Theater of Operations				Teitoku no Ketsudan (JP)	NA|JP	Strategy	Turn-based strategy
Pac-Attack					NA EU	Puzzle	Action puzzle
Pac-In-Time	Pac-In-Time	Pac-In-Time	Pac-in-Time			Platform	
Pac-Man 2: The New Adventures	Pac-Man 2: The New Adventures	Pac-Man 2: The New Adventures	Hello! Pac-Man			Platform	Puzzle platformer
Pachi-Slot Kanzen Kouryaku: Universal Shindai Nyuuka Volume 1					JP	Traditional games	Gambling
Pachi-Slot Kenkyuu					JP	Traditional games	Gambling
Pachi-Slot Land					JP	Traditional games	Gambling
Pachi-Slot Love Story					JP	Traditional games	Gambling
Pachi-Slot Monogatari: PAL Kougyou Special					JP	Traditional games	Gambling
Pachi-Slot Monogatari: Universal Special					JP	Traditional games	Gambling
Pachi-Slot Shoubushi					JP	Traditional games	Gambling
Pachinko Challenger					JP	Traditional games	Gambling
Pachinko Fan: Shouri Sengen					JP	Traditional games	Gambling
Pachinko Hi Hisshouhou					JP	Traditional games	Gambling
Pachinko Monogatari 2: Nagoya Shachihoko no Teiou					JP	Traditional games	Gambling
Pachinko Monogatari: Pachi-Slot mo Aru deyo!!					JP	Traditional games	Gambling
Pachinko Renchan Tengoku: Super CR Special					JP	Traditional games	Gambling
Pachinko Tetsujin: Shichiban Shoubu					JP	Traditional games	Gambling
Pachinko Wars					JP	Traditional games	Gambling
Pachinko Wars II					JP	Traditional games	Gambling
Pachiokun Special					JP	Traditional games	Gambling
Pachiokun Special 2					JP	Traditional games	Gambling
Pachiokun Special 3					JP	Traditional games	Gambling
Packy and Marlon	Packy and Marlon					Platform	
The Pagemaster	The Pagemaster	The Pagemaster				Platform	
Paladin's Quest			Lennus: Kodai Kikai no Kioku		JP|NA	RPG	Console-style RPG
Panic in Nakayoshi World			Panic in Nakayoshi World			Action	
Paperboy II					NA|EU	Racing	Other
Parlor! Mini 2: Pachinko Jikki Simulation Game					JP	Traditional games	Gambling
Parlor! Mini 3: Pachinko Jikki Simulation Game					JP	Traditional games	Gambling
Parlor! Mini 4: Pachinko Jikki Simulation Game					JP	Traditional games	Gambling
Parlor! Mini 5: Pachinko Jikki Simulation Game					JP	Traditional games	Gambling
Parlor! Mini 6: Pachinko Jikki Simulation Game					JP	Traditional games	Gambling
Parlor! Mini 7: Pachinko Jikki Simulation Game					JP	Traditional games	Gambling
Parlor! Mini: Pachinko Jikki Simulation Game					JP	Traditional games	Gambling
Parodius Da! －Shinwa kara Owarai e－		Parodius: Non-Sense Fantasy	Parodius Da! －Shinwa kara Owarai e－			Shooter	Scrolling shooter
The Peace Keepers				Rushing Beat Syura (JP)	NA|JP	Action	Beat 'em up and hack and slash
Pebble Beach no Hatou New: Tournament Edition					JP	Sports	Golf
PGA European Tour					NA|EU	Sports	Golf
PGA Tour 96					NA|EU	Sports	Golf
PGA Tour Golf					NA|EU|JP	Sports	Golf
Phalanx	Phalanx	Phalanx	Phalanx: The Enforce Fighter A-144			Shooter	Scrolling shooter
Phantom 2040	Phantom 2040	Phantom 2040				Platform	
Picross NP Vol. 1					JP	Puzzle	Logic
Picross NP Vol. 2					JP	Puzzle	Logic
Picross NP Vol. 3					JP	Puzzle	Logic
Picross NP Vol. 4					JP	Puzzle	Logic
Picross NP Vol. 5					JP	Puzzle	Logic
Picross NP Vol. 6					JP	Puzzle	Logic
Picross NP Vol. 7					JP	Puzzle	Logic
Picross NP Vol. 8					JP	Puzzle	Logic
Pieces	Pieces		Jigsaw Party		JP NA	Puzzle	Action puzzle
Pikiinya!					JP	Puzzle	Action puzzle
Pilotwings					NA|EU|JP	Flight	
Pinball Dreams				Pinball Pinball (JP)	NA|EU|JP	Action	Pinball
Pinball Fantasies					NA|EU	Action	Pinball
Pink Panther in Pink Goes to Hollywood	Pink Panther in Pink Goes to Hollywood	Pink Panther in Pink Goes to Hollywood	Pink Panther in Pink Goes to Hollywood			Platform	
Pinocchio	Pinocchio	Pinocchio	Pinocchio			Platform	
Pipe Dream					JP	Puzzle	Action puzzle
Pirates of Dark Water					NA|EU	Action	Beat 'em up and hack and slash
Pit-Fighter	Pit-Fighter	Pit-Fighter				Action	Fighting
Pitfall: The Mayan Adventure	Pitfall: The Mayan Adventure	Pitfall: The Mayan Adventure	Pitfall: Maya no Daibouken			Platform	
Plok	Plok	Plok	Plok!			Platform	
Pocky & Rocky	Pocky & Rocky	Pocky & Rocky	KiKi KaiKai: Nazo no Kuro Manto			Shooter	Multidirectional shooter
Pocky & Rocky 2	Pocky & Rocky 2	Pocky & Rocky 2	Kiki KaiKai: Tsukiyo Soushi			Shooter	Multidirectional shooter
Poko-Nyan! Henpokorin Adventure			Poko-Nyan! Henpokorin Adventure			Platform	
Pop'n TwinBee		Pop'n TwinBee	Pop'n TwinBee			Shooter	Scrolling shooter
Popeye: Ijiwaru Majo Sea Hag no Maki					JP	RPG	
Popful Mail					JP	RPG	Action RPG
Populous					NA|EU|JP	Simulation	God game
Populous II: Trials of the Olympian Gods					EU|JP	Simulation	God game
Porky Pig's Haunted Holiday	Porky Pig's Haunted Holiday	Porky Pig's Haunted Holiday				Platform	
Power Drive					EU	Racing	Monster Truck Racing
Power Instinct	Power Instinct		Gōketsuji Ichizoku			Action	Fighting
Power Lode Runner			Power Lode Runner		JP	Puzzle	
Power Moves	Power Moves		Power Athlete			Action	Fighting
Power of the Hired					JP	RPG	Tactical role-playing
Power Piggs of the Dark Age	Power Piggs of the Dark Age	Power Piggs of the Dark Age				Platform	
Power Rangers Zeo: Battle Racers					NA|EU	Racing	Vehicular combat
Power Soukoban					JP	Puzzle	Action puzzle
Powermonger				Powermonger: Mashou no Bouryaku (JP)	EU|JP	Strategy	Real-time strategy
Prehistorik Man	Prehistorik Man	Prehistorik Man	P-Man			Platform	
Primal Rage	Primal Rage	Primal Rage				Action	Fighting
Prince of Persia	Prince of Persia	Prince of Persia	Prince of Persia			Platform	Cinematic platformer
Prince of Persia 2: The Shadow and the Flame	Prince of Persia 2: The Shadow and the Flame	Prince of Persia 2: The Shadow and the Flame				Platform	Cinematic platformer
Princess Maker: Legend of Another World					JP	RPG	Action RPG
Princess Minerva					JP	RPG	
Prisoners of the Sun		Adventures of Tintin: Prisoners of the Sun				Platform	
Pro Kishi Jinsei Simulation: Shōgi no Hanamichi			Pro Kishi Jinsei Simulation: Shōgi no Hanamichi			Party	
Pro Mahjong Kiwame					JP	Traditional games	Tile games
Pro Mahjong Kiwame II					JP	Traditional games	Tile games
Pro Mahjong Kiwame III					JP	Traditional games	Tile games
Pro Mahjong Tsuwamono					JP	Traditional games	Tile games
Pro Mahjong Tsuwamono: Renka Han					JP	Traditional games	Tile games
Pro Quarterback					NA	Sports	American Football
Pro Sport Hockey				USA Ice Hockey (JP)	NA|JP	Sports	Hockey
Pro Yakyū Nettō: Puzzle Stadium					JP	Puzzle	Action puzzle
Pro Yakyū Star					JP	Sports	Baseball
Psycho Dream					JP	Action	Beat 'em up and hack and slash
Pushover					NA EU	Puzzle	Action puzzle
Putty	Super Putty	Super Putty	Putty Moon			Platform	
Putty Squad		Putty Squad				Platform	
Puzzle'n Desu!					JP	Puzzle	Action puzzle
Q*bert 3	Q*bert 3		Q*bert 3		JP NA	Puzzle	Action puzzle
R-Type III: The Third Lightning	R-Type III: The Third Lightning	R-Type III: The Third Lightning	R-Type III: The Third Lightning			Shooter	Scrolling shooter
Race Drivin'					NA|EU	Racing	Sports Car Racing
Radical Rex	Radical Rex	Radical Rex				Platform	
Raiden	Raiden Trad		Raiden Densetsu			Shooter	Scrolling shooter
Rampart					NA	Puzzle	Action puzzle
Ranma ½: Akaneko-dan teki Hihou					JP	RPG	Console-style RPG
Ranma ½: Hard Battle	Ranma ½: Hard Battle	Ranma ½	Ranma ½: Bakuretsu Rantouhen			Action	Fighting
Ranma ½: Neighborhood Combat	Street Combat	Street Combat	Ranma ½: Chōnai Gekitōhen			Action	Fighting
Ranma ½: Ougi Jaanken					JP	Puzzle	Action puzzle
Ranma ½: Super Battle			Ranma ½: Chougi Rambuhen			Action	Fighting
Rap Jam: Volume One					NA	Sports	Basketball
Rapurasu no Ma					JP	Adventure	Survival horror
Realm	Realm	Realm				Platform	
Redline F-1 Racer				Aguri Suzuki F-1 Super Driving (EU, JP)	NA|EU|JP	Racing	Formula One
Rejoice: Aretha Ōkoku no Kanata					JP	RPG	Action RPG
Relief Pitcher					NA	Sports	Baseball
Ren & Stimpy Show Part II: Fire Dogs	Ren & Stimpy Show Part II: Fire Dogs					Platform	
The Ren & Stimpy Show: Buckaroo$	The Ren & Stimpy Show: Buckaroo$					Platform	
The Ren & Stimpy Show: Time Warp	The Ren & Stimpy Show: Time Warp	The Ren & Stimpy Show: Time Warp				Platform	
The Ren & Stimpy Show: Veediots!	The Ren & Stimpy Show: Veediots!	The Ren & Stimpy Show: Veediots!				Platform	
Rendering Ranger: R2			Rendering Ranger: R2			Shooter	Scrolling shooter
Res Arcana: Diana Ray: Uranai no Meikyuu					JP	Traditional games	
Revolution X	Revolution X	Revolution X	Revolution X			Shooter	Light gun shooter
Rex Ronan: Experimental Surgeon	Rex Ronan: Experimental Surgeon					Shooter	Scrolling shooter
Riddick Bowe Boxing				Chavez (MX)	NA|JP	Sports	Boxing
Ring ni Kakero					JP	Sports	Boxing
Rise of the Phoenix				Kouryuuki (JP)	NA|JP	Strategy	Turn-based strategy
Rise of the Robots	Rise of the Robots	Rise of the Robots	Rise of the Robots			Action	Fighting
Rival Turf!				Rushing Beat (JP)	NA|EU|JP	Action	Beat 'em up and hack and slash
Road Riot 4WD					NA|EU	Racing	Vehicular combat
Road Runner's Death Valley Rally	Road Runner's Death Valley Rally	Road Runner	Road Runner Vs Wyle E Coyote			Platform	
RoboCop 3					NA|EU	Action	Beat 'em up and hack and slash
Robocop versus The Terminator	Robocop versus The Terminator	Robocop versus The Terminator				Platform	
Robotrek			Slap Stick		JP|NA	RPG	Console-style RPG
Rock N' Roll Racing					NA|EU|JP	Racing	Vehicular combat
The Rocketeer	The Rocketeer		The Rocketeer			Platform	
Rocko's Modern Life: Spunky's Dangerous Day	Rocko's Modern Life: Spunky's Dangerous Day					Platform	
Rocky Rodent	Rocky Rodent	Rocky Rodent	Nitro Punks: Might Heads			Platform	
Roger Clemens' MVP Baseball					NA|JP	Sports	Baseball
Rokudenashi Blues: Taiketsu! Tokyo Shitennou			Rokudenashi Blues: Taiketsu! Tokyo Shitennou			Action	Fighting
Rokudenashi Blues: Taiketsu! Tokyo Shitennou			Rokudenashi Blues: Taiketsu! Tokyo Shitennou			Platform	
Romance of the Three Kingdoms II				Super Sangokushi II (JP)	NA|JP	Strategy	Turn-based strategy
Romance of the Three Kingdoms III: Dragon of Destiny				Sangokushi III (JP, CN)	NA|JP|CN	Strategy	Turn-based strategy
Romance of the Three Kingdoms IV: Wall of Fire				Sangokushi IV (JP)	NA|JP	Strategy	Turn-based strategy
Romancing SaGa					JP	RPG	Console-style RPG
Romancing SaGa 2					JP	RPG	Console-style RPG
Romancing SaGa 3					JP	RPG	Console-style RPG
RPG Tsukūru 2					JP	RPG	
RPG Tsukūru: Super Dante					JP	RPG	
RPM Racing					NA|JP	Racing	Monster Truck Racing
Ruin Arm					JP	Adventure	Action-adventure
Ruin Arm					JP	RPG	Action RPG
Run Saber					NA|EU	Action	Beat 'em up and hack and slash
Ryuukihei Dan Danzarubu					JP	RPG	
Saibara Rieko no Mahjong Hourouki					JP	Traditional games	Tile games
Saikousoku Shikou Shougi Mahjong					JP	Traditional games	Tile games
Saikyō: Takada Nobuhiko					JP	Sports	Wrestling
Sakurai Shouichi no Jankiryuu: Mahjong Hisshouhou					JP	Traditional games	Tile games
SameGame					JP	Puzzle	Action puzzle
SameGame + Tengai Makyou Zero Jikei			SameGame + Tengai Makyou Zero Jikei			Multi-game collection	
Samurai Shodown	Samurai Shodown	Samurai Shodown	Samurai Spirits			Action	Fighting
Sangokushi Eiketsuden					JP	Strategy	Turn-based strategy
Sangokushi Seishi: Tenbu Spirits					JP	Strategy	Turn-based strategy
Sankyo Fever! Fever!					JP	Traditional games	Gambling
Sanrio Shanghai					JP	Puzzle	Action puzzle
Sanrio World Smash Ball!					JP	Action	Ball and paddle
Sansara Naga 2					JP	RPG	
Saturday Night Slam Masters				Muscle Bomber (JP)	NA|EU|JP	Sports	Wrestling
Scooby-Doo Mystery					NA	Adventure	Action-adventure
SD F-1 Grand Prix					JP	Racing	Formula One
SD Gundam G Next					JP	Strategy	Turn-based strategy
SD Gundam Gaiden 2: Entaku no Kishi					JP	RPG	
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan					JP	RPG	
SD Gundam GX					JP	Strategy	Turn-based strategy
SD Gundam Power Formation Puzzle					JP	Puzzle	Action puzzle
SD Gundam X					JP	Strategy	Turn-based strategy
SD Hiryuu no Ken			SD Hiryuu no Ken			Action	Fighting
SD Kidou Senshi Gundam 2			SD Kidou Senshi Gundam 2			Shooter	Scrolling shooter
SD Kidou Senshi Gundam: V Sakusen Shidou			SD Kidou Senshi Gundam: V Sakusen Shidou			Shooter	Fixed shooter
SD The Great Battle			SD The Great Battle			Platform	
SeaQuest DSV					NA|EU	Adventure	Action-adventure
Secret of Evermore					NA|EU	RPG	Action RPG
Secret of Mana				Seiken Densetsu 2 (JP)	JP|NA|EU	RPG	Action RPG
Secret of the Stars			Aqutallion		JP|NA	RPG	Console-style RPG
