Title-main	Title-na	Title-eu	Title-jp	Title-alt	regions	genre	subgenre
Disney's Magical Quest 2 starring Mickey & Minnie	The Great Circus Mystery: Starring Mickey and Minnie	The Great Circus Mystery: Starring Mickey and Minnie	Mickey to Minnie: Magical Adventure 2			Platform	
Disney's Magical Quest 3 starring Mickey & Donald			Mickey to Donald: Magical Adventure 3			Platform	
Disney's Magical Quest starring Mickey Mouse	The Magical Quest: Starring Mickey Mouse	The Magical Quest: Starring Mickey Mouse	Mickey no Magical Adventure			Platform	
Dokapon 3-2-1: Arashi wo Yobu Yujo						Traditional games	Board games
Dokapon Gaiden: Honoo no Audition						Traditional games	Board games
Dōkyūsei 2			Dōkyūsei 2			Simulation	Life simulation
Dolucky no A.League Soccer					JP	Sports	Football
Dolucky no Kusayakiu					JP	Sports	Baseball
Dolucky no Puzzle Tour '94					JP	Puzzle	Action puzzle
Donald Duck Mahou no Boushi			Donald Duck Mahou no Boushi			Platform	
Donkey Kong Country				Super Donkey Kong (JP)	NA|PAL|JP	Platform	Hop and bop
Donkey Kong Country 2: Diddy's Kong Quest				Super Donkey Kong 2: Dixie & Diddy (JP)	NA|PAL|JP	Platform	Hop and bop
Donkey Kong Country 3: Dixie Kong's Double Trouble!				Super Donkey Kong 3: Nazo no Krems Shima (JP)	NA|PAL|JP	Platform	Hop and bop
Doom	Doom	Doom	Doom			Shooter	First-person shooter
Doom Troopers	Doom Troopers					Platform	
Doomsday Warrior	Doomsday Warrior		Taiketsu!! Brass Numbers			Action	Fighting
Doraemon 2: Nobita no Toys Land Daibouken			Doraemon 2: Nobita no Toys Land Daibouken			Platform	
Doraemon 3: Nobita to Toki no Hougyoku			Doraemon 3: Nobita to Toki no Hougyoku			Platform	
Doraemon 4: Nobita to Tsuki no Oukoku			Doraemon 4: Nobita to Tsuki no Oukoku			Platform	
Doraemon: Nobita to Yousei no Kuni			Doraemon: Nobita to Yousei no Kuni			Platform	
DoReMi Fantasy: Milon's DokiDoki Adventure			DoReMi Fantasy: Milon no DokiDoki Daibouken			Platform	
Dossun! Ganseki Battle					JP	Puzzle	Action puzzle
Double Dragon V: The Shadow Falls	Double Dragon V: The Shadow Falls	Double Dragon V: The Shadow Falls				Action	Fighting
Down the World: Mervil's Ambition					JP	RPG	Console-style RPG
Downtown Nekketsu Baseball Monogatari: Baseball de Shoufuda! Kunio-kun					JP	Sports	Baseball
Dr. Franken	The Adventures of Dr. Franken	The Adventures of Dr. Franken				Platform	
Dr. Mario			Dr. Mario		JP	Puzzle	Matching
Dragon Ball Z: Hyper Dimension			Dragon Ball Z: Hyper Dimension			Action	Fighting
Dragon Ball Z: Super Butōden			Dragon Ball Z: Super Butouden			Action	Fighting
Dragon Ball Z: Super Butōden 2			Dragon Ball Z: Super Butōden 2	Dragon Ball Z 2: La Legende Saien (FR)		Action	Fighting
Dragon Ball Z: Super Butōden 3			Dragon Ball Z: Super Butōden 3	Dragon Ball Z 3: Ultime Menace (FR)|Dragon Ball Z: Chomutujeon (KR)		Action	Fighting
Dragon Ball Z: Super Gokuden - Kakusei-Hen			Dragon Ball Z: Chou Gokuuden Kakusei Hen			Action	Fighting
Dragon Ball Z: Super Gokuden - Totsugeki-Hen			Dragon Ball Z: Chou Gokuuden Totsugeki Hen			Action	Fighting
Dragon Ball Z: Super Saiya Densetsu					JP	RPG	
Dragon Knight 4					JP	RPG	Tactical role-playing
Dragon Quest I & II					JP	RPG	Console-style RPG
Dragon Quest III: Soshite Densetsu e…					JP	RPG	Console-style RPG
Dragon Quest V: Tenkū no Hanayome					JP	RPG	Console-style RPG
Dragon Quest VI: Maboroshi no Daichi					JP	RPG	Console-style RPG
Dragon Slayer: The Legend of Heroes					JP	RPG	Console-style RPG
Dragon Slayer: The Legend of Heroes II					JP	RPG	Console-style RPG
Dragon View				Super Drakkhen (JP)	JP|NA	RPG	Action RPG
Dragon: The Bruce Lee Story	Dragon: The Bruce Lee Story	Dragon: The Bruce Lee Story				Action	Fighting
Dragon's Earth					JP	RPG	Tactical role-playing
Dragon's Lair	Dragon's Lair	Dragon's Lair	Dragon's Magic			Platform	
Drakkhen	Drakkhen				JP|NA|EU	RPG	Computer-style RPG
Dream Basketball: Dunk & Hoop					JP	Sports	Basketball
Dream TV	Dream TV					Platform	
Dual Orb					JP	RPG	Console-style RPG
Dual Orb II					JP	RPG	Console-style RPG
The Duel: Test Drive II					NA|EU	Racing	Sports Car Racing
Dungeon Master				Dungeon Master	JP|NA|EU	RPG	Action RPG
DunQuest: Majin Fuuin no Densetsu					JP	RPG	
Dynamaite: The Las Vegas					JP	Traditional games	Gambling
Dynamic Stadium					JP	Sports	Baseball
E.V.O.: Search for Eden	E.V.O.: Search for Eden		46 Okunen Monogatari: Harukanaru Eden he			Action	
Earth Light					JP	Strategy	Turn-based strategy
Earth Light: Luna Strike					JP	Strategy	Turn-based strategy
EarthBound			Mother 2		JP|NA	RPG	Console-style RPG
Earthworm Jim	Earthworm Jim	Earthworm Jim	Earthworm Jim			Platform	
Earthworm Jim 2	Earthworm Jim 2	Earthworm Jim 2				Platform	
Edo no Kiba					JP	Action	Beat 'em up and hack and slash
Eek! The Cat	Eek! The Cat	Eek! The Cat				Platform	
Eien no Filena					JP	RPG	
Elfaria					JP	RPG	
Elfaria 2: The Quest of the Meld					JP	RPG	
Elite Soccer	Elite Soccer	World Cup Striker	World Cup Striker		NA|EU|JP	Sports	Football
Emerald Dragon					JP	RPG	Console-style RPG
EMIT Vol. 1					JP	Adventure	Graphic adventure
EMIT Vol. 2					JP	Adventure	Graphic adventure
EMIT Vol. 3					JP	Adventure	Graphic adventure
Emmitt Smith Football					NA	Sports	American Football
Energy Breaker					JP	RPG	Tactical role-playing
Equinox				Solstice II (JP)	JP|NA|EU	RPG	Action RPG
Esparks: Ijikuu Kara no Raihousha					JP	RPG	
ESPN Baseball Tonight					NA|EU	Sports	Baseball
ESPN National Hockey Night					NA	Sports	Hockey
ESPN Speed World					NA	Racing	NASCAR
ESPN Sunday Night NFL					NA	Sports	American Football
Euro Football Champ	Super Soccer Champ		Hat Trick Hero		NA|EU|JP	Sports	Football
Exhaust Heat				F1 ROC: Race Of Champions (NA)	NA|EU|JP	Racing	Formula One
Extra Innings				Hakunetsu Pro Yakyuu: Ganba League (JP)	NA|JP	Sports	Baseball
Eye of the Beholder				Eye of the Beholder	JP|NA	RPG	Action RPG
F-1 Grand Prix					JP	Racing	Formula One
F-1 Grand Prix Part II					JP	Racing	Formula One
F-1 Grand Prix Part III					JP	Racing	Formula One
F-Zero					NA|EU|JP	Racing	Futuristic Racing
F1 Pole Position				Human Grand Prix (JP)	NA|EU|JP	Racing	Formula One
F1 Pole Position 2				Human Grand Prix II (JP)	EU|JP	Racing	Formula One
F1 ROC II: Race Of Champions				Exhaust Heat II: F-1 Driver no Kiseki (JP)	NA|JP	Racing	Formula One
F1 World Championship Edition					EU	Racing	Formula One
Faceball 2000	Faceball 2000					Shooter	First-person shooter
Famicom Bunko: Hajimari no Mori					JP	Adventure	Interactive fiction
Famicom Tantei Club Part II: Ushiro ni Tatsu Shōjo					JP	Adventure	Interactive fiction
Family Dog	Family Dog	Family Dog				Platform	
Family Feud					NA	Traditional games	Trivia & game show
Farland Story 2: Dance of Destruction					JP	RPG	Tactical role-playing
Farland Story: Yottsu no Fuuin					JP	RPG	Tactical role-playing
Fatal Fury 2	Fatal Fury 2	Fatal Fury 2	Garō Densetsu Tsū Aratanaru Tatakai			Action	Fighting
Fatal Fury Special	Fatal Fury Special	Fatal Fury Special	Garō Densetsu Supersharu			Action	Fighting
Fatal Fury: King of Fighters	Fatal Fury: King of Fighters	Fatal Fury: King of Fighters	Garō Densetsu Shukumei no Tatakai			Action	Fighting
FEDA: Emblem of Justice					JP	RPG	Tactical role-playing
Fever Pitch Soccer	Head-On Soccer	Fever Pitch Soccer			NA|EU	Sports	Football
FIFA 97	FIFA Soccer 97				NA|EU	Sports	Football
FIFA International Soccer					NA|EU|JP	Sports	Football
FIFA Soccer 96					NA|EU	Sports	Football
FIFA: Road to World Cup 98					EU	Sports	Football
